"Report_Date","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered"
"10/1/2020","NaN","Colombia","10/2/2020 4:23","835339","26196","751691"
"10/2/2020","NaN","Colombia","10/3/2020 4:23","835339","26196","751691"
"10/3/2020","NaN","Colombia","10/4/2020 4:23","841532","26397","753953"
"10/4/2020","NaN","Colombia","10/5/2020 4:23","855052","26712","761674"
"10/5/2020","NaN","Colombia","10/6/2020 4:23","862158","26844","766300"
"10/6/2020","NaN","Colombia","10/7/2020 4:23","869808","27017","770812"
"10/7/2020","NaN","Colombia","10/8/2020 4:23","877684","27180","773973"
"10/8/2020","NaN","Colombia","10/9/2020 4:23","886179","27180","773973"
"10/9/2020","NaN","Colombia","10/10/2020 4:23","894300","27495","780547"
"10/11/2020","NaN","Colombia","10/12/2020 4:23","911316","27834","789787"
"10/12/2020","NaN","Colombia","10/13/2020 4:24","919084","27985","798396"
"10/13/2020","NaN","Colombia","10/14/2020 4:24","924098","28141","806703"
"10/14/2020","NaN","Colombia","10/14/2020 4:24","924098","28141","806703"
"10/15/2020","NaN","Colombia","10/16/2020 4:24","936982","28457","826831"
"10/16/2020","NaN","Colombia","10/17/2020 4:24","945354","28616","837001"
"10/17/2020","NaN","Colombia","10/18/2020 4:24","952371","28803","847467"
"10/18/2020","NaN","Colombia","10/19/2020 4:24","959572","28970","858294"
"10/19/2020","NaN","Colombia","10/20/2020 4:24","965883","29102","867961"
"10/20/2020","NaN","Colombia","10/21/2020 4:24","974139","29272","876731"
"10/21/2020","NaN","Colombia","10/22/2020 4:24","981700","29464","884895"
"10/22/2020","NaN","Colombia","10/23/2020 4:24","990373","29637","893810"
"10/23/2020","NaN","Colombia","10/24/2020 4:24","998942","29802","901652"
"10/24/2020","NaN","Colombia","10/25/2020 4:24","1007711","30000","907379"
